indiv,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
8ISC3,2.4,2.4,0.9,1,1.3,1.4,1.5,1.4,0.3,0.9
3OGA3,0.5,0.6,0.2,0.4,0.4,0.1,0.2,0.4,0.2,0.7
4OGA1,0.5,0.4,0.2,0.3,0.4,0.3,0.6,0.4,0.3,0.4
14OSC3,0.7,0.8,1,1.1,1.1,0.8,0.8,0.7,0.7,1.2
14ISC1,0.2,0.7,0.9,0.9,1.3,1.3,1,0.7,1.2,0.6
7OSC2,0.3,1,0.8,1.3,1.6,0.5,0.9,1.2,1.3,1
7OSC3,0.9,0.8,0.7,0.9,0.6,0.9,0.4,1.2,1.3,1.6
3OSC3,1.5,1.4,0.8,1,1.3,1.3,1.3,1.2,1.2,1.3
7ISC2,0.8,1,1.1,1,1,1.5,1.2,1,0.9,2
14ISC3,1.5,1,0.5,0.6,0.5,0.8,1.9,0.9,1.1,1.2
11OSC2,1.3,1.2,1.2,1.2,0.8,1,0.9,1.2,1.2,1.2
10OSC3,0.5,0.4,0.2,0.6,0.2,1,1.1,0.6,0.7,0.7
10OSC2,0.1,0.1,0.5,0.8,0.8,0.2,0.6,0.8,0.4,0.3
10ISC3,0.9,0.8,0.8,0.7,1,1,1,1.5,0.9,0.9
10ISC1,0.9,0.6,0.4,1.3,0.9,1,0.9,1.5,0.7,0.5
10ISC2,1.4,1.2,0.5,0.5,0.8,1,0.8,0.8,0.5,0.7
11ISC1,1,0.5,0.6,0.6,0.6,0.7,0.8,0.3,0.1,0.2
11ISC3,1.1,1,1,0.8,0.6,0.6,0.5,0.4,0.4,0.7
11OSC1,0.6,0.3,0.6,0.7,0.9,0.2,0.2,0.8,1,0.8
7OSC1,1.2,1.4,1,0.8,1,0.6,1,1.4,0.6,1
8OSC1,0.8,1.7,1.3,0.8,0.9,1.7,1,1.5,1.2,0.8
5ISC2,0.6,1.3,1.6,0.5,1.6,1.1,0.5,0.9,0.7,1
2OSC3,1.4,0.7,0.8,0.8,1.2,0.5,1.5,1.9,1,0.7
10OSC1,1.3,1.1,1,1,0.5,1.2,1.1,1.2,1,0.7
8OGA2,0.2,0.1,0.1,0.1,0.4,0.1,0.1,0.3,0.1,0.1
8OSC3,1,0.7,0.8,0.9,0.8,2,0.7,1.1,1.5,1.1
11OSC3,0.6,0.3,0.4,0.8,0.6,0.9,0.5,1,1,1.5
11ISC2,0.6,0.6,0.7,0.5,0.6,0.4,0.4,0.5,0.8,1.1
8OSC2,0.8,0.8,0.7,0.8,0.8,0.6,0.8,0.7,0.8,0.4
4OGA2,0.3,0.7,0.8,0.8,0.2,0.3,0.2,0.3,0.3,0.2
